sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceTaxonKingdomName	sourceTaxonPhylumName	sourceTaxonClassName	sourceTaxonOrderName	sourceTaxonFamilyName	sourceTaxonGenusName	sourceTaxonSpecificEpithetName	sourceTaxonSubspecificEpithetName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetTaxonKingdomName	targetTaxonPhylumName	targetTaxonClassName	targetTaxonOrderName	targetTaxonFamilyName	targetTaxonGenusName	targetTaxonSpecificEpithetName	targetTaxonSubspecificEpithetName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
	GBIF:9476062	Quiscalus mexicanus						Quiscalus	mexicanus					adult			RO:0002439	preys on		GBIF:1862841	Hyles lineata						Hyles	lineata					larvae				Suburban		Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193		352	2024-04-30T12:45:00			
	GBIF:1786360	Trichoplusia ni						Trichoplusia	ni					larvae			RO:0002470	eats		GBIF:2927060	Salvia columbariae						Salvia	columbariae					adult				Suburban		Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193		352	2024-04-02			
	GBIF:2487397	Auriparus flaviceps						Auriparus	flaviceps					adult			RO:0002470	eats		GBIF:5420901	Punica granatum						Punica	granatum					fruit				Suburban		Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193		352	2026-01-01T09:43:00			
	GBIF:1862841	Hyles lineata						Hyles	lineata					adult			RO:0002622	nectaring		GBIF:3171309	Penstemon pseudospectabilis						Penstemon	pseudospectabilis					adult				Suburban		Hardy Drive & 16th Street, Tempe, Arizona	33.412435	-111.952193		352	2026-02-22T11:20:00			
	GBIF:5051472	Argia hinei						Argia	hinei								RO:0002437	interactsWith		GBIF:5051472	Argia hinei						Argia	hinei											Fish Creek, Tonto National Forest	33.5248	-111.3055			2017-05-27			
	ITIS:132394	Asilidae															RO:0002437	interactsWith		ITIS:132394	Asilidae																		South Fork Cave Creek, Coronado National Forest	31.8724	-109.1854			2019-04-13			
		Lepidoptera															RO:0002454	hasHost		GBIF:3172086	Veronica anagallis-aquatica						Veronica	anagallis-aquatica											Muleshoe Ranch Conservation Management Area	32.35	-110.2374			2019-05-26			
		Lepidoptera															RO:0002454	hasHost		GBIF:3172086	Veronica anagallis-aquatica						Veronica	anagallis-aquatica											Muleshoe Ranch Conservation Management Area	32.35	-110.2374			2019-05-26			
		Lepidoptera															RO:0002454	hasHost		GBIF:7346102	Erythranthe guttata						Erythranthe	guttata											Muleshoe Ranch Conservation Management Area	32.35	-110.2373			2019-05-26			
		Lepidoptera															RO:0002454	hasHost		GBIF:7346102	Erythranthe guttata						Erythranthe	guttata											Muleshoe Ranch Conservation Management Area	32.35	-110.2373			2019-05-26			
